WORD,LEVEL
dance,A1
dancer,A1
dancing,A1
dangerous,A1
dark,A1
date,A1
daughter,A1
day,A1
dear,A1
December,A1
decide,A1
delicious,A1
describe,A1
description,A1
design,A1
desk,A1
detail,A1
dialogue,A1
dictionary,A1
die,A1
diet,A1
difference,A1
different,A1
difficult,A1
dinner,A1
dirty,A1
discuss,A1
dish,A1
do,A1
doctor,A1
dog,A1
dollar,A1
door,A1
down,A1
downstairs,A1
draw,A1
dress,A1
drink,A1
drive,A1
driver,A1
during,A1
DVD,A1
each,A1
ear,A1
early,A1
east,A1
easy,A1
eat,A1
egg,A1
eight,A1
eighteen,A1
eighty,A1
elephant,A1
eleven,A1
else,A1
email,A1
end,A1
enjoy,A1
enough,A1
euro,A1
©,A1
even,A1
evening,A1
event,A1
ever,A1
every,A1
everybody,A1
everyone,A1
everything,A1
exam,A1
example,A1
excited,A1
exciting,A1
exercise,A1
expensive,A1
explain,A1
extra,A1
eye,A1
face,A1
fact,A1
fall,A1
false,A1
family,A1
famous,A1
fantastic,A1
far,A1
farm,A1
farmer,A1
fast,A1
fat,A1
father,A1
favourite,A1
February,A1
feel,A1
feeling,A1
festival,A1
few,A1
fifteen,A1
fifth,A1
fifty,A1
fill,A1
film,A1
final,A1
find,A1
fine,A1
finish,A1
fire,A1
first,A1
fish,A1
five,A1
flat,A1
flight,A1
floor,A1
flower,A1
fly,A1
follow,A1
food,A1
foot,A1
football,A1
for,A1
forget,A1
form,A1
forty,A1
four,A1
fourteen,A1
fourth,A1
free,A1
Friday,A1
friend,A1
friendly,A1
from,A1
front,A1
fruit,A1
full,A1
fun,A1
funny,A1
future,A1
game,A1
garden,A1
geography,A1
get,A1
girl,A1
girlfriend,A1
give,A1
glass,A1
go,A1
good,A1
goodbye,A1
grandfather,A1
grandmother,A1
grandparent,A1
great,A1
green,A1
grey,A1
group,A1
grow,A1
guess,A1
guitar,A1
gym,A1
hair,A1
half,A1
hand,A1
happen,A1
happy,A1
hard,A1
hat,A1
hate,A1
have,A1
have,A1
he,A1
head,A1
health,A1
healthy,A1
hear,A1
hello,A1
help,A1
her,A1
here,A1
hey,A1
hi,A1
high,A1
him,A1
his,A1
history,A1
hobby,A1
holiday,A1
home,A1
homework,A1
hope,A1
horse,A1
hospital,A1
hot,A1
hotel,A1
hour,A1
house,A1
how,A1
however,A1
hundred,A1
hungry,A1
husband,A1
I,A1
ice,A1
ice,A1
idea,A1
if,A1
imagine,A1
important,A1
improve,A1
in,A1
include,A1
information,A1
interest,A1
interested,A1
interesting,A1
internet,A1
interview,A1
into,A1
introduce,A1
island,A1
it,A1
its,A1
jacket,A1
January,A1
jeans,A1
job,A1
join,A1
journey,A1
juice,A1
July,A1
June,A1
just,A1
keep,A1
key,A1
kilometre,A1
kind,A1
kitchen,A1
know,A1
land,A1
language,A1
large,A1
last,A1
late,A1
later,A1
laugh,A1
learn,A1
leave,A1
left,A1
leg,A1
lesson,A1
let,A1
letter,A1
library,A1
lie,A1
life,A1
light,A1
like,A1
like,A1
line,A1
lion,A1
list,A1
listen,A1
little,A1
live,A1
local,A1
long,A1
look,A1
lose,A1
lot,A1
love,A1
lunch,A1
machine,A1
magazine,A1
main,A1
make,A1
man,A1
many,A1
map,A1
March,A1
market,A1
married,A1
match,A1
May,A1
maybe,A1
me,A1
meal,A1
mean,A1
meaning,A1
meat,A1
meet,A1
meeting,A1
member,A1
menu,A1
message,A1
metre,A1
midnight,A1
mile,A1
milk,A1
million,A1
minute,A1
miss,A1
mistake,A1
model,A1
modern,A1
moment,A1
Monday,A1
money,A1
month,A1
more,A1
morning,A1
most,A1
mother,A1
mountain,A1
mouse,A1
mouth,A1
move,A1
movie,A1
much,A1
mum,A1
museum,A1
music,A1
must,A1
my,A1
name,A1
natural,A1
near,A1
need,A1
negative,A1
neighbour,A1
never,A1
new,A1
news,A1
newspaper,A1
next,A1
next,A1
nice,A1
night,A1
nine,A1
nineteen,A1
ninety,A1
no,A1
no,A1
nobody,A1
north,A1
nose,A1
not,A1
note,A1
nothing,A1
November,A1
now,A1
number,A1
nurse,A1
object,A1
o’clock,A1
October,A1
of,A1
off,A1
office,A1
often,A1
oh,A1
OK,A1
old,A1
on,A1
once,A1
one,A1
onion,A1
online,A1
only,A1
open,A1
opinion,A1
opposite,A1
or,A1
orange,A1
order,A1
other,A1
our,A1
out,A1
outside,A1
over,A1
own,A1
page,A1
paint,A1
painting,A1
pair,A1
paper,A1
paragraph,A1
parent,A1
park,A1
part,A1
partner,A1
party,A1
passport,A1
past,A1
pay,A1
pen,A1
pencil,A1
people,A1
pepper,A1
perfect,A1
period,A1
person,A1
personal,A1
phone,A1
photo,A1
photograph,A1
phrase,A1
piano,A1
picture,A1
piece,A1
pig,A1
pink,A1
place,A1
plan,A1
plane,A1
plant,A1
play,A1
player,A1
please,A1
point,A1
police,A1
policeman,A1
pool,A1
poor,A1
popular,A1
positive,A1
possible,A1
post,A1
potato,A1
pound,A1
practice,A1
practise,A1
prefer,A1
prepare,A1
present,A1
pretty,A1
price,A1
probably,A1
problem,A1
product,A1
programme,A1
project,A1
purple,A1
put,A1
quarter,A1
question,A1
quick,A1
quickly,A1
quiet,A1
quite,A1
radio,A1
rain,A1
read,A1
reader,A1
reading,A1
ready,A1
real,A1
really,A1
reason,A1
red,A1
relax,A1
remember,A1
repeat,A1
report,A1
restaurant,A1
result,A1
return,A1
rice,A1
rich,A1
ride,A1
right,A1
river,A1
road,A1
room,A1
routine,A1
rule,A1
run,A1
sad,A1
salad,A1
salt,A1
same,A1
sandwich,A1
Saturday,A1
say,A1
school,A1
science,A1
scientist,A1
sea,A1
second,A1
number,A1
second,A1
section,A1
see,A1
sell,A1
send,A1
sentence,A1
September,A1
seven,A1
seventeen,A1
seventy,A1
share,A1
she,A1
sheep,A1
shirt,A1
shoe,A1
shop,A1
shopping,A1
short,A1
should,A1
show,A1
shower,A1
sick,A1
similar,A1
sing,A1
singer,A1
sister,A1
sit,A1
situation,A1
six,A1
sixteen,A1
sixty,A1
skill,A1
skirt,A1
sleep,A1
slow,A1
small,A1
snake,A1
snow,A1
so,A1
some,A1
somebody,A1
someone,A1
something,A1
sometimes,A1
son,A1
song,A1
soon,A1
sorry,A1
sound,A1
soup,A1
south,A1
space,A1
speak,A1
special,A1
spell,A1
spelling,A1
spend,A1
sport,A1
spring,A1
stand,A1
star,A1
start,A1
statement,A1
station,A1
stay,A1
still,A1
stop,A1
story,A1
street,A1
strong,A1
student,A1
study,A1
style,A1
subject,A1
success,A1
sugar,A1
summer,A1
sun,A1
Sunday,A1
supermarket,A1
sure,A1
sweater,A1
swim,A1
swimming,A1
table,A1
take,A1
talk,A1
tall,A1
taxi,A1
tea,A1
teach,A1
teacher,A1
team,A1
teenager,A1
telephone,A1
television,A1
tell,A1
ten,A1
tennis,A1
terrible,A1
test,A1
text,A1
than,A1
thank,A1
thanks,A1
that,A1
the,A1
theatre,A1
their,A1
them,A1
then,A1
there,A1
they,A1
thing,A1
think,A1
third,A1
thirsty,A1
thirteen,A1
thirty,A1
this,A1
thousand,A1
three,A1
through,A1
Thursday,A1
ticket,A1
time,A1
tired,A1
title,A1
to,A1
today,A1
together,A1
toilet,A1
tomato,A1
tomorrow,A1
tonight,A1
too,A1
tooth,A1
topic,A1
tourist,A1
town,A1
traffic,A1
train,A1
travel,A1
tree,A1
trip,A1
trousers,A1
true,A1
try,A1
T-shirt,A1
Tuesday,A1
turn,A1
TV,A1
twelve,A1
twenty,A1
twice,A1
two,A1
type,A1
umbrella,A1
uncle,A1
under,A1
understand,A1
university,A1
until,A1
up,A1
upstairs,A1
us,A1
use,A1
useful,A1
usually,A1
vacation,A1
vegetable,A1
very,A1
video,A1
village,A1
visit,A1
visitor,A1
wait,A1
waiter,A1
wake,A1
walk,A1
wall,A1
want,A1
warm,A1
wash,A1
watch,A1
water,A1
way,A1
we,A1
wear,A1
weather,A1
website,A1
Wednesday,A1
week,A1
weekend,A1
welcome,A1
well,A1
west,A1
what,A1
when,A1
where,A1
which,A1
white,A1
who,A1
why,A1
wife,A1
will,A1
win,A1
window,A1
wine,A1
winter,A1
with,A1
without,A1
woman,A1
wonderful,A1
word,A1
work,A1
worker,A1
world,A1
would,A1
write,A1
writer,A1
writing,A1
wrong,A1
yeah,A1
year,A1
yellow,A1
yes,A1
yesterday,A1
you,A1
young,A1
your,A1
yourself,A1
ability,A2
able,A2
abroad,A2
accept,A2
accident,A2
according,A2
achieve,A2
act,A2
active,A2
actually,A2
adult,A2
advantage,A2
adventure,A2
advertise,A2
advertisement,A2
advertising,A2
affect,A2
after,A2
against,A2
ah,A2
airline,A2
alive,A2
all,A2
all,A2
allow,A2
almost,A2
alone,A2
along,A2
already,A2
alternative,A2
although,A2
among,A2
amount,A2
ancient,A2
ankle,A2
any,A2
anybody,A2
any,A2
anyway,A2
anywhere,A2
app,A2
appear,A2
appearance,A2
apply,A2
architect,A2
architecture,A2
argue,A2
argument,A2
army,A2
arrange,A2
arrangement,A2
as,A2
asleep,A2
assistant,A2
athlete,A2
attack,A2
attend,A2
attention,A2
attractive,A2
audience,A2
author,A2
available,A2
average,A2
avoid,A2
award,A2
awful,A2
back,A2
background,A2
badly,A2
bar,A2
baseball,A2
based,A2
basketball,A2
bean,A2
bear,A2
beat,A2
beef,A2
before,A2
behave,A2
behaviour,A2
belong,A2
belt,A2
benefit,A2
best,A2
better,A2
between,A2
billion,A2
bin,A2
biology,A2
birth,A2
biscuit,A2
bit,A2
blank,A2
blood,A2
blow,A2
board,A2
boil,A2
bone,A2
book,A2
borrow,A2
boss,A2
bottom,A2
bowl,A2
brain,A2
bridge,A2
bright,A2
brilliant,A2
broken,A2
brush,A2
burn,A2
businessman,A2
button,A2
camp,A2
camping,A2
can,A2
care,A2
careful,A2
carefully,A2
carpet,A2
cartoon,A2
case,A2
cash,A2
castle,A2
catch,A2
cause,A2
celebrate,A2
celebrity,A2
certain,A2
certainly,A2
chance,A2
character,A2
charity,A2
chat,A2
check,A2
chef,A2
chemistry,A2
chip,A2
choice,A2
church,A2
cigarette,A2
circle,A2
classical,A2
clear,A2
clearly,A2
clever,A2
climate,A2
close,A2
closed,A2
clothing,A2
cloud,A2
coach,A2
coast,A2
code,A2
colleague,A2
collect,A2
column,A2
comedy,A2
comfortable,A2
comment,A2
communicate,A2
community,A2
compete,A2
competition,A2
complain,A2
completely,A2
condition,A2
conference,A2
connect,A2
connected,A2
consider,A2
contain,A2
context,A2
continent,A2
continue,A2
control,A2
cook,A2
cooker,A2
copy,A2
corner,A2
correctly,A2
count,A2
couple,A2
cover,A2
crazy,A2
creative,A2
credit,A2
crime,A2
criminal,A2
cross,A2
crowd,A2
crowded,A2
cry,A2
cupboard,A2
curly,A2
cycle,A2
daily,A2
danger,A2
dark,A2
data,A2
dead,A2
deal,A2
dear,A2
death,A2
decision,A2
deep,A2
definitely,A2
degree,A2
dentist,A2
department,A2
depend,A2
desert,A2
designer,A2
destroy,A2
detective,A2
develop,A2
device,A2
diary,A2
differently,A2
digital,A2
direct,A2
direction,A2
director,A2
disagree,A2
disappear,A2
disaster,A2
discover,A2
discovery,A2
discussion,A2
disease,A2
distance,A2
divorced,A2
document,A2
double,A2
download,A2
downstairs,A2
drama,A2
drawing,A2
dream,A2
drive,A2
driving,A2
drop,A2
drug,A2
dry,A2
earn,A2
earth,A2
easily,A2
education,A2
effect,A2
either,A2
electric,A2
electrical,A2
electricity,A2
electronic,A2
employ,A2
employee,A2
employer,A2
empty,A2
ending,A2
energy,A2
engine,A2
engineer,A2
enormous,A2
enter,A2
environment,A2
equipment,A2
error,A2
especially,A2
essay,A2
everyday,A2
everywhere,A2
evidence,A2
exact,A2
exactly,A2
excellent,A2
except,A2
exist,A2
expect,A2
experience,A2
experiment,A2
expert,A2
explanation,A2
express,A2
expression,A2
extreme,A2
extremely,A2
factor,A2
factory,A2
fail,A2
fair,A2
fall,A2
fan,A2
farm,A2
farming,A2
fashion,A2
fat,A2
fear,A2
feature,A2
feed,A2
female,A2
fiction,A2
field,A2
fight,A2
figure,A2
film,A2
final,A2
finally,A2
finger,A2
finish,A2
first,A2
firstly,A2
fish,A2
fishing,A2
fit,A2
fix,A2
flat,A2
flu,A2
fly,A2
flying,A2
focus,A2
following,A2
foreign,A2
forest,A2
fork,A2
formal,A2
fortunately,A2
forward,A2
free,A2
fresh,A2
fridge,A2
frog,A2
fun,A2
furniture,A2
further,A2
future,A2
gallery,A2
gap,A2
gas,A2
gate,A2
general,A2
gift,A2
goal,A2
god,A2
gold,A2
golf,A2
good,A2
government,A2
grass,A2
greet,A2
ground,A2
guest,A2
guide,A2
gun,A2
guy,A2
habit,A2
half,A2
hall,A2
happily,A2
have,A2
headache,A2
heart,A2
heat,A2
heavy,A2
height,A2
helpful,A2
hero,A2
hers,A2
herself,A2
hide,A2
high,A2
hill,A2
himself,A2
his,A2
hit,A2
hockey,A2
hold,A2
hole,A2
home,A2
hope,A2
huge,A2
human,A2
hurt,A2
ideal,A2
identify,A2
ill,A2
illness,A2
image,A2
immediately,A2
impossible,A2
included,A2
including,A2
increase,A2
incredible,A2
independent,A2
individual,A2
industry,A2
informal,A2
injury,A2
insect,A2
inside,A2
instead,A2
instruction,A2
instructor,A2
instrument,A2
intelligent,A2
international,A2
introduction,A2
invent,A2
invention,A2
invitation,A2
invite,A2
involve,A2
item,A2
itself,A2
jam,A2
jazz,A2
jewellery,A2
joke,A2
journalist,A2
jump,A2
kid,A2
kill,A2
king,A2
knee,A2
knife,A2
knock,A2
knowledge,A2
lab,A2
lady,A2
lake,A2
lamp,A2
land,A2
laptop,A2
last,A2
last,A2
later,A2
laughter,A2
law,A2
lawyer,A2
lazy,A2
lead,A2
leader,A2
learning,A2
least,A2
lecture,A2
lemon,A2
lend,A2
less,A2
level,A2
lifestyle,A2
lift,A2
light,A2
light,A2
likely,A2
link,A2
listener,A2
little,A2
©,A2
lock,A2
look,A2
lorry,A2
lost,A2
loud,A2
loudly,A2
lovely,A2
low,A2
luck,A2
lucky,A2
mail,A2
major,A2
male,A2
manage,A2
manager,A2
manner,A2
mark,A2
marry,A2
material,A2
mathematics,A2
maths,A2
matter,A2
may,A2
media,A2
medical,A2
medicine,A2
memory,A2
mention,A2
metal,A2
method,A2
middle,A2
might,A2
mind,A2
mine,A2
mirror,A2
missing,A2
mobile,A2
monkey,A2
moon,A2
mostly,A2
motorcycle,A2
movement,A2
musical,A2
musician,A2
myself,A2
narrow,A2
national,A2
nature,A2
nearly,A2
necessary,A2
neck,A2
need,A2
neither,A2
nervous,A2
network,A2
noise,A2
noisy,A2
none,A2
normal,A2
normally,A2
notice,A2
novel,A2
nowhere,A2
number,A2
nut,A2
ocean,A2
offer,A2
officer,A2
oil,A2
onto,A2
opportunity,A2
option,A2
ordinary,A2
organization,A2
organize,A2
original,A2
ourselves,A2
outside,A2
oven,A2
own,A2
owner,A2
pack,A2
pain,A2
painter,A2
palace,A2
pants,A2
parking,A2
particular,A2
pass,A2
passenger,A2
past,A2
patient,A2
pattern,A2
pay,A2
peace,A2
penny,A2
per,A2
per,A2
perform,A2
perhaps,A2
permission,A2
personality,A2
pet,A2
petrol,A2
photograph,A2
physical,A2
physics,A2
pick,A2
pilot,A2
planet,A2
plant,A2
plastic,A2
plate,A2
platform,A2
please,A2
pleased,A2
pocket,A2
polite,A2
pollution,A2
pop,A2
population,A2
position,A2
possession,A2
possibility,A2
poster,A2
power,A2
predict,A2
present,A2
president,A2
prevent,A2
print,A2
printer,A2
prison,A2
prize,A2
process,A2
produce,A2
professional,A2
professor,A2
profile,A2
program,A2
progress,A2
promise,A2
pronounce,A2
protect,A2
provide,A2
pub,A2
public,A2
publish,A2
pull,A2
purpose,A2
push,A2
quality,A2
quantity,A2
queen,A2
question,A2
quietly,A2
race,A2
railway,A2
raise,A2
rate,A2
rather,A2
reach,A2
react,A2
realize,A2
receive,A2
recent,A2
recently,A2
reception,A2
recipe,A2
recognize,A2
recommend,A2
record,A2
recording,A2
recycle,A2
reduce,A2
refer,A2
refuse,A2
region,A2
regular,A2
relationship,A2
remove,A2
repair,A2
replace,A2
reply,A2
report,A2
reporter,A2
request,A2
research,A2
researcher,A2
respond,A2
response,A2
rest,A2
rest,A2
review,A2
ride,A2
ring,A2
ring,A2
rise,A2
rock,A2
rock,A2
role,A2
roof,A2
round,A2
route,A2
rubbish,A2
rude,A2
run,A2
runner,A2
running,A2
sadly,A2
safe,A2
sail,A2
sailing,A2
salary,A2
sale,A2
sauce,A2
save,A2
scared,A2
scary,A2
scene,A2
schedule,A2
score,A2
screen,A2
search,A2
season,A2
seat,A2
second,A2
secondly,A2
secret,A2
secretary,A2
seem,A2
sense,A2
separate,A2
series,A2
serious,A2
serve,A2
service,A2
several,A2
shake,A2
shall,A2
shape,A2
sheet,A2
ship,A2
shoulder,A2
shout,A2
shut,A2
side,A2
sign,A2
silver,A2
simple,A2
since,A2
singing,A2
single,A2
sir,A2
site,A2
size,A2
ski,A2
skiing,A2
skin,A2
sky,A2
sleep,A2
slowly,A2
smartphone,A2
smell,A2
smile,A2
smoke,A2
smoking,A2
soap,A2
soccer,A2
social,A2
society,A2
sock,A2
soft,A2
soldier,A2
solution,A2
solve,A2
somewhere,A2
sort,A2
source,A2
speaker,A2
specific,A2
speech,A2
speed,A2
spider,A2
spoon,A2
square,A2
stage,A2
stair,A2
stamp,A2
star,A2
start,A2
state,A2
stay,A2
steal,A2
step,A2
stomach,A2
stone,A2
store,A2
storm,A2
straight,A2
strange,A2
strategy,A2
stress,A2
structure,A2
stupid,A2
succeed,A2
successful,A2
such,A2
suddenly,A2
suggest,A2
suggestion,A2
suit,A2
support,A2
suppose,A2
sure,A2
surprise,A2
surprised,A2
surprising,A2
survey,A2
sweet,A2
symbol,A2
system,A2
tablet,A2
talk,A2
target,A2
task,A2
taste,A2
teaching,A2
technology,A2
teenage,A2
temperature,A2
term,A2
text,A2
themselves,A2
thick,A2
thief,A2
thin,A2
thinking,A2
third,A2
thought,A2
throw,A2
tidy,A2
tie,A2
tip,A2
tool,A2
top,A2
touch,A2
tour,A2
tourism,A2
towards,A2
towel,A2
tower,A2
toy,A2
track,A2
tradition,A2
traditional,A2
train,A2
trainer,A2
training,A2
transport,A2
traveller,A2
trouble,A2
truck,A2
twin,A2
typical,A2
underground,A2
understanding,A2
unfortunately,A2
unhappy,A2
uniform,A2
unit,A2
united,A2
unusual,A2
upstairs,A2
use,A2
used,A2
user,A2
usual,A2
valley,A2
van,A2
variety,A2
vehicle,A2
view,A2
virus,A2
voice,A2
wait,A2
war,A2
wash,A2
washing,A2
wave,A2
weak,A2
web,A2
wedding,A2
weight,A2
welcome,A2
wet,A2
wheel,A2
while,A2
whole,A2
whose,A2
wide,A2
wild,A2
wind,A2
winner,A2
wish,A2
wood,A2
wooden,A2
working,A2
worried,A2
worry,A2
worse,A2
worst,A2
wow,A2
yet,A2
yours,A2
zero,A2
absolutely,B1
academic,B1
access,B1
accommodation,B1
account,B1
achievement,B1
act,B1
ad,B1
addition,B1
admire,B1
admit,B1
advanced,B1
advise,B1
afford,B1
age,B1
aged,B1
agent,B1
agreement,B1
ahead,B1
aim,B1
alarm,B1
album,B1
alcohol,B1
alcoholic,B1
alternative,B1
amazed,B1
ambition,B1
ambitious,B1
analyse,B1
analysis,B1
announce,B1
announcement,B1
annoy,B1
annoyed,B1
annoying,B1
apart,B1
apologize,B1
application,B1
appointment,B1
appreciate,B1
approximately,B1
arrest,B1
arrival,B1
assignment,B1
assist,B1
atmosphere,B1
attach,B1
attitude,B1
attract,B1
attraction,B1
authority,B1
average,B1
award,B1
aware,B1
backwards,B1
bake,B1
balance,B1
ban,B1
bank,B1
base,B1
basic,B1
basis,B1
battery,B1
battle,B1
beauty,B1
bee,B1
belief,B1
bell,B1
bend,B1
benefit,B1
better,B1
bite,B1
block,B1
board,B1
bomb,B1
border,B1
bother,B1
branch,B1
brand,B1
brave,B1
breath,B1
breathe,B1
breathing,B1
bride,B1
bubble,B1
bury,B1
by,B1
calm,B1
campaign,B1
campus,B1
candidate,B1
cap,B1
captain,B1
careless,B1
category,B1
ceiling,B1
celebration,B1
central,B1
centre,B1
ceremony,B1
chain,B1
challenge,B1
champion,B1
channel,B1
chapter,B1
charge,B1
cheap,B1
cheat,B1
cheerful,B1
chemical,B1
chest,B1
childhood,B1
claim,B1
clause,B1
clear,B1
click,B1
client,B1
climb,B1
close,B1
cloth,B1
clue,B1
coach,B1
coal,B1
coin,B1
collection,B1
coloured,B1
combine,B1
comment,B1
commercial,B1
commit,B1
communication,B1
comparison,B1
competitor,B1
competitive,B1
complaint,B1
complex,B1
concentrate,B1
conclude,B1
conclusion,B1
confident,B1
confirm,B1
confuse,B1
confused,B1
connection,B1
consequence,B1
consist,B1
consume,B1
consumer,B1
contact,B1
container,B1
content,B1
continuous,B1
contrast,B1
convenient,B1
convince,B1
cool,B1
costume,B1
cottage,B1
cotton,B1
count,B1
countryside,B1
court,B1
cover,B1
covered,B1
cream,B1
criminal,B1
cruel,B1
cultural,B1
currency,B1
current,B1
currently,B1
curtain,B1
custom,B1
cut,B1
daily,B1
damage,B1
deal,B1
decade,B1
decorate,B1
deep,B1
define,B1
definite,B1
definition,B1
deliver,B1
departure,B1
despite,B1
destination,B1
determine,B1
determined,B1
development,B1
diagram,B1
diamond,B1
difficulty,B1
direct,B1
directly,B1
dirt,B1
disadvantage,B1
disappointed,B1
disappointing,B1
discount,B1
dislike,B1
divide,B1
documentary,B1
donate,B1
double,B1
doubt,B1
dressed,B1
drop,B1
drum,B1
drunk,B1
due,B1
dust,B1
duty,B1
earthquake,B1
eastern,B1
economic,B1
economy,B1
edge,B1
editor,B1
educate,B1
educated,B1
educational,B1
effective,B1
effectively,B1
effort,B1
election,B1
element,B1
embarrassed,B1
embarrassing,B1
emergency,B1
emotion,B1
employment,B1
empty,B1
encourage,B1
enemy,B1
engaged,B1
engineering,B1
entertain,B1
entertainment,B1
entrance,B1
entry,B1
environmental,B1
episode,B1
equal,B1
equally,B1
escape,B1
essential,B1
eventually,B1
examine,B1
except,B1
exchange,B1
excitement,B1
exhibition,B1
expand,B1
expected,B1
expedition,B1
experience,B1
experienced,B1
experiment,B1
explode,B1
explore,B1
explosion,B1
export,B1
extra,B1
face,B1
fairly,B1
familiar,B1
fancy,B1
far,B1
fascinating,B1
fashionable,B1
fasten,B1
favour,B1
fear,B1
feature,B1
fence,B1
fighting,B1
file,B1
financial,B1
fire,B1
fitness,B1
fixed,B1
flag,B1
flood,B1
flour,B1
flow,B1
fold,B1
folk,B1
following,B1
force,B1
forever,B1
frame,B1
freeze,B1
frequently,B1
friendship,B1
frighten,B1
frightened,B1
frightening,B1
frozen,B1
fry,B1
fuel,B1
function,B1
fur,B1
further,B1
garage,B1
gather,B1
generally,B1
generation,B1
generous,B1
gentle,B1
gentleman,B1
ghost,B1
giant,B1
glad,B1
global,B1
glove,B1
go,B1
goods,B1
grade,B1
graduate,B1
grain,B1
grateful,B1
growth,B1
guard,B1
guilty,B1
hand,B1
hang,B1
happiness,B1
hardly,B1
hate,B1
head,B1
headline,B1
heating,B1
heavily,B1
helicopter,B1
highlight,B1
highly,B1
hire,B1
historic,B1
historical,B1
honest,B1
horrible,B1
horror,B1
host,B1
hunt,B1
hurricane,B1
hurry,B1
identity,B1
ignore,B1
illegal,B1
imaginary,B1
immediate,B1
immigrant,B1
impact,B1
import,B1
importance,B1
impression,B1
impressive,B1
improvement,B1
incredibly,B1
indeed,B1
indicate,B1
indirect,B1
indoor,B1
indoors,B1
influence,B1
ingredient,B1
injure,B1
injured,B1
innocent,B1
intelligence,B1
intend,B1
intention,B1
invest,B1
investigate,B1
involved,B1
iron,B1
issue,B1
IT,B1
journal,B1
judge,B1
keen,B1
key,B1
keyboard,B1
kick,B1
killing,B1
kind,B1
kiss,B1
knock,B1
label,B1
laboratory,B1
lack,B1
latest,B1
lay,B1
layer,B1
lead,B1
leading,B1
leaf,B1
leather,B1
legal,B1
leisure,B1
length,B1
level,B1
lie,B1
like,B1
limit,B1
lip,B1
liquid,B1
literature,B1
live,B1
living,B1
local,B1
locate,B1
located,B1
location,B1
lonely,B1
loss,B1
luxury,B1
mad,B1
magic,B1
mainly,B1
mall,B1
management,B1
market,B1
marketing,B1
marriage,B1
meanwhile,B1
measure,B1
medium,B1
mental,B1
mention,B1
mess,B1
mild,B1
mine,B1
mix,B1
mixture,B1
mood,B1
move,B1
mud,B1
murder,B1
muscle,B1
musical,B1
mystery,B1
nail,B1
narrative,B1
nation,B1
native,B1
naturally,B1
necessarily,B1
need,B1
needle,B1
neighbourhood,B1
neither,B1
net,B1
next,B1
nor,B1
normal,B1
northern,B1
note,B1
now,B1
nuclear,B1
obvious,B1
obviously,B1
occasion,B1
occur,B1
odd,B1
official,B1
old-fashioned,B1
once,B1
operation,B1
organized,B1
organizer,B1
original,B1
originally,B1
ought,B1
ours,B1
outdoor,B1
outdoors,B1
pack,B1
package,B1
painful,B1
pale,B1
pan,B1
participate,B1
particularly,B1
pass,B1
passion,B1
path,B1
payment,B1
peaceful,B1
percentage,B1
perfectly,B1
performance,B1
personally,B1
persuade,B1
photographer,B1
photography,B1
pin,B1
pipe,B1
place,B1
planning,B1
pleasant,B1
pleasure,B1
plenty,B1
plot,B1
plus,B1
poem,B1
poet,B1
poetry,B1
point,B1
poison,B1
poisonous,B1
policy,B1
political,B1
politician,B1
politics,B1
port,B1
portrait,B1
possibly,B1
pot,B1
pour,B1
poverty,B1
powder,B1
powerful,B1
practical,B1
pray,B1
prayer,B1
prediction,B1
prepared,B1
presentation,B1
press,B1
pressure,B1
